incluir;productCode;categoria;titulo;rating;reviews;price;score;viatorUrl
x;256213P4;strip-tours;The Escape Game Las Vegas: 60-Minute Adventure at The Forum Shops;4.990783;434;42.99;4.955;https://www.viator.com/tours/Las-Vegas/The-Escape-Game-Las-Vegas-Epic-60-Minute-Adventures/d684-256213P4?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5662DIG;strip-tours;Las Vegas Heavy Equipment Playground: Dig, Push, and Play!;4.9799333;598;27.5;4.954;https://www.viator.com/tours/Las-Vegas/Dig-This-Heavy-Equipment-Playground/d684-5662DIG?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;7106P7;strip-tours;Exotic Car Driving Experience at the Las Vegas Motor Speedway;4.962963;1188;299;4.95;https://www.viator.com/tours/Las-Vegas/Exotic-Car-Driving-Experiences-at-Las-Vegas-Motor-Speedway/d684-7106P7?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;66229P4;strip-tours;Las Vegas Wedding at The Little Vegas Chapel;4.973799;458;299;4.942;https://www.viator.com/tours/Las-Vegas/Las-Vegas-Wedding-at-The-Little-Vegas-Chapel/d684-66229P4?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5214LASDRIVE;strip-tours;2-Hour Exotic Car Driving Experience in Las Vegas;4.94339;2950;299;4.938;https://www.viator.com/tours/Las-Vegas/Exotic-Car-Driving-Experience-Package-in-Las-Vegas/d684-5214LASDRIVE?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5084P43;strip-tours;Colin Cloud Mastermind at Harrah’s Hotel and Casino in Las Vegas;4.973494;415;58.73;4.938;https://www.viator.com/tours/Las-Vegas/Colin-Cloud-Mastermind-at-Harrahs-Cabaret-Las-Vegas/d684-5084P43?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;7812P223;strip-tours;Downtown Las Vegas Food Tour of 6 Iconic Dishes & Hidden Gems;4.9571867;654;139.99;4.935;https://www.viator.com/tours/Las-Vegas/Downtown-Las-Vegas-Walking-Food-Tour-With-Secret-Food-Tours/d684-7812P223?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;66229P3;strip-tours;Elvis Wedding at The Little Vegas Chapel;4.977707;314;349;4.932;https://www.viator.com/tours/Las-Vegas/Elvis-Weddings-at-The-Little-Vegas-Chapel/d684-66229P3?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;138742P1;strip-tours;Must-See Spots: The Original Las Vegas Strip Walking Tour;4.964467;394;49;4.929;https://www.viator.com/tours/Las-Vegas/Exploring-the-Best-Parts-of-the-Las-Vegas-Strip-with-a-Local/d684-138742P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;6756FCCWT;strip-tours;Las Vegas Downtown & Fremont Street - Guided Walking Tour;4.939577;662;37;4.919;https://www.viator.com/tours/Las-Vegas/Fremont-Street-History-Walking-Tour/d684-6756FCCWT?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;324012P2;strip-tours;Best Bites on The Las Vegas Strip: A Traveler's Guide to Sin City;4.974249;233;99;4.917;https://www.viator.com/tours/Las-Vegas/Best-Bites-on-The-Strip-A-Beginners-Guide-to-Sin-City/d684-324012P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;341595P2;strip-tours;Las Vegas Desert Buggy Experience;4.976744;215;150;4.915;https://www.viator.com/tours/Las-Vegas/Las-Vegas-Desert-Buggy-Experience/d684-341595P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;6783NFSFT;strip-tours;2-Hour Guided Segway Tour of Downtown Las Vegas;4.951724;290;89.1;4.907;https://www.viator.com/tours/Las-Vegas/Las-Vegas-Segway-Tour-South-Fremont-Street/d684-6783NFSFT?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5214LASRIDE;strip-tours;Drifting Ride-Along Experience in Las Vegas;4.9587154;218;99;4.901;https://www.viator.com/tours/Las-Vegas/Las-Vegas-Exotic-Car-Ride-Along/d684-5214LASRIDE?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;66229P1;strip-tours;Las Vegas Wedding at The Little Vegas Chapel including Limousine Transportation;4.95279;233;499;4.899;https://www.viator.com/tours/Las-Vegas/Las-Vegas-Wedding-at-The-Little-Vegas-Chapel-including-Limousine-Transportation/d684-66229P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;378119P2;strip-tours;Self-Guided Fear and Loathing UTV Rental;4.9302325;387;109;4.898;https://www.viator.com/tours/Las-Vegas/Self-Guided-Fear-and-Loathing-UTV-Rental/d684-378119P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;470339P1;strip-tours;Giant Shopping Cart Limo Ride in Las Vegas;4.9116516;781;69;4.896;https://www.viator.com/tours/Las-Vegas/Giant-Shopping-Cart-Limo-Ride-in-Las-Vegas/d684-470339P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;7812P28;strip-tours;Las Vegas: The Strip's Celebrity Chefs Tour or Downtown Food Tour;4.9006515;1842;139.99;4.894;https://www.viator.com/tours/Las-Vegas/Secret-Food-Tours-Las-Vegas/d684-7812P28?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5606549P1;strip-tours;Vegas Underworld: Las Vegas True Crime & Mob Walking Tour;4.992;125;40;4.894;https://www.viator.com/tours/Las-Vegas/Vegas-Underworld-Tour/d684-5606549P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;7812P145;strip-tours;Private Vegas Strip Celebrity Chef Food Tour with 7 Tastings;4.9423866;243;485;4.892;https://www.viator.com/tours/Las-Vegas/Private-Tour-Secret-Food-Tours-Las-Vegas/d684-7812P145?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;202878P1;strip-tours;Bliss Chapel Wedding & Vow Renewal Ceremony Package;4.97351;151;449;4.892;https://www.viator.com/tours/Las-Vegas/Signature-Bliss-Wedding-and-Vow-Renewal/d684-202878P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;467700P1;strip-tours;Scenic Wine Tasting Tour from Las Vegas with Food;4.977778;135;154.5;4.889;https://www.viator.com/tours/Las-Vegas/Wine-Tasting/d684-467700P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;3501O0074;strip-tours;Ultimate Hidden Valley and Primm RZR Adventure from Las Vegas;4.896346;1341;219.99;4.887;https://www.viator.com/tours/Las-Vegas/Hidden-Valley-and-Primm-Valley-Extreme-RZR-Tour-from-Las-Vegas/d684-3501O0074?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;66229P2;strip-tours;Elvis Wedding at The Little Vegas Chapel including Limousine Transportation;4.9476438;191;565;4.885;https://www.viator.com/tours/Las-Vegas/Elvis-Wedding-at-The-Little-Vegas-Chapel-including-Limousine-Transportation/d684-66229P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5623010P1;strip-tours;The Escape Game at AREA15 in Las Vegas;4.9765625;128;42.99;4.884;https://www.viator.com/tours/Las-Vegas/The-Escape-Game-at-AREA15-in-Las-Vegas/d684-5623010P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;7106P5;strip-tours;Ride-Along Drifting Experience at the Las Vegas Motor Speedway;4.964286;140;99;4.881;https://www.viator.com/tours/Las-Vegas/Drifting-Ride-Along-Experience-in-a-BMW-M3/d684-7106P5?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;222766P1;strip-tours;The Cabin Escape room experience in Las Vegas;4.932961;179;41.03;4.871;https://www.viator.com/tours/Las-Vegas/Extravagant-Escape-Room-The-Cabin/d684-222766P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5278TOPGUN;strip-tours;Extreme Flight Experience in Las Vegas;4.8913045;460;659;4.867;https://www.viator.com/tours/Las-Vegas/Top-Gun-and-Air-Combat-Experience/d684-5278TOPGUN?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;46865P9;strip-tours;Arts District Eats: Food, Art & Culture Walking Tour in Las Vegas;4.920398;201;124;4.866;https://www.viator.com/tours/Las-Vegas/Las-Vegas-Arts-District-Foodie-Tour/d684-46865P9?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;324012P4;strip-tours;Best Bet Gaming Lessons: Learn to Play Like the Pros;4.9883723;86;59;4.863;https://www.viator.com/tours/Las-Vegas/Best-Bet-Gambling-Lessons-Learn-to-Play-Like-the-Pros/d684-324012P4?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;46865P5;strip-tours;Taste the Vegas Strip: A Local’s Food Tour Experience;4.8705883;510;124;4.851;https://www.viator.com/tours/Las-Vegas/Food-Tour-of-the-Las-Vegas-Strip/d684-46865P5?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;2084_EA;strip-tours;Elvis Themed Wedding or Vow Renewal at Graceland Wedding Chapel;4.87069;464;183;4.849;https://www.viator.com/tours/Las-Vegas/Elvis-Wedding-at-Graceland-Wedding-Chapel/d684-2084_EA?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;222766P6;strip-tours;Witch House Escape Room in Las Vegas;4.9339623;106;40;4.842;https://www.viator.com/tours/Las-Vegas/Witch-House/d684-222766P6?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;222766P4;strip-tours;Suzys Cell Escape Game;4.9333334;105;41.03;4.841;https://www.viator.com/tours/Las-Vegas/Suzys-Cell/d684-222766P4?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;65848P1;strip-tours;Wreck Room - A Destruction Experience, Standard Wrecking;4.9848485;66;77.58;4.839;https://www.viator.com/tours/Las-Vegas/Wreck-Room-A-Destruction-Experience/d684-65848P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;15064P21;strip-tours;Viva Las Donuts: The Ultimate Las Vegas Artisan Donut Tour;4.915254;118;75;4.836;https://www.viator.com/tours/Las-Vegas/Underground-Donut-Tour-Las-Vegas-Donut-Tour/d684-15064P21?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;202878P2;strip-tours;Bliss Chapel Elvis Weddings & Vow Renewal;4.983871;62;469;4.834;https://www.viator.com/tours/Las-Vegas/Signature-Elvis-Wedding/d684-202878P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;32338P3;strip-tours;Las Vegas Desert RZR Adventure Tour at the Pioneer Saloon;4.9577465;71;184.99;4.83;https://www.viator.com/tours/Las-Vegas/RZR-Desert-Adventure-with-Lunch-at-the-Historic-Pioneer-Saloon/d684-32338P3?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;46865P6;strip-tours;Flavors of Fremont: Downtown Vegas Food Tour & Local Secrets;4.8415384;650;124;4.828;https://www.viator.com/tours/Las-Vegas/Flavors-of-Fremont-Downtown-Vegas-Food-Tour/d684-46865P6?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;6756NIGHT;strip-tours;Downtown Las Vegas Nighttime Walking Tour;4.923913;92;37;4.827;https://www.viator.com/tours/Las-Vegas/Downtown-Las-Vegas-Walking-Tour-by-Night/d684-6756NIGHT?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;22168P1;strip-tours;Las Vegas Strip and Downtown Scooter with Food Tour;4.8764706;170;379;4.824;https://www.viator.com/tours/Las-Vegas/Las-Vegas-Strip-and-Downtown-Scooter-and-Foodie-Tour/d684-22168P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;101510P1;strip-tours;Quickie Las Vegas Wedding at Paradise Wedding Chapel;4.8809524;126;65;4.815;https://www.viator.com/tours/Las-Vegas/Quickie-Las-Vegas-Wedding-at-Paradise-Wedding-Chapel/d684-101510P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;433254P1;strip-tours;Get Married: Elvis Wedding + Las Vegas Sign + Photography;4.98;50;299;4.814;https://www.viator.com/tours/Las-Vegas/Get-Married-by-Elvis-at-the-Fabulous-Las-Vegas-Sign-Photos/d684-433254P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;14684P1;strip-tours;3-Hour Black Canyon Motorized Raft Tour with Optional Transport;4.827848;395;140;4.808;https://www.viator.com/tours/Las-Vegas/Black-Canyon-River-Adventure/d684-14684P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;324012P3;strip-tours;Original Las Vegas: The Fremont Street Experience Walking Tour;4.946429;56;44;4.805;https://www.viator.com/tours/Las-Vegas/Original-Las-Vegas-The-Fremont-Street-Experience-Walking-Tour/d684-324012P3?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;101510P2;strip-tours;Las Vegas Wedding at Paradise Wedding Chapel;4.977778;45;199;4.804;https://www.viator.com/tours/Las-Vegas/Las-Vegas-Wedding-at-Paradise-Wedding-Chapel/d684-101510P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;480672P3;strip-tours;Gold Elvis Wedding or Vow Renewal at Las Vegas Sign;5;39;98;4.802;https://www.viator.com/tours/Las-Vegas/Free-product-for-Feb-2025/d684-480672P3?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;6783P7;strip-tours;Downtown Las Vegas Evening Tour by Segway;4.9322033;59;79;4.802;https://www.viator.com/tours/Las-Vegas/City-Lights-Evening-Tour/d684-6783P7?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;222766P5;strip-tours;The Shed Escape Game;4.9591837;49;40;4.802;https://www.viator.com/tours/Las-Vegas/The-Shed/d684-222766P5?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;6783P11;strip-tours;Downtown Las Vegas Food Tour by Segway;4.898734;79;139;4.801;https://www.viator.com/tours/Las-Vegas/Downtown-Las-Vegas-Food-Tour-by-Segway/d684-6783P11?mcid=42383&pid=P00140156&medium=api&api_version=2.0
